"","F_X_to_Y","F_Y_to_X","SMBB_X_to_Y","SMBB_Y_to_X","AR sieve_X_to_Y","AR sieve_Y_to_X","R.Wald_X_to_Y","R.Wald_Y_to_X","TY_X_to_Y","TY_Y_to_X"
"21016",0,7.52707490281457e-10,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.83615316278697e-52,0.00291624130909811,0,5.27174684243897e-10
"21017",0,5.98845629881864e-21,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,4.51387731083905e-110,1.02170208305289e-09,0,4.6935680732755e-21
"21018",0,1.89537937105734e-11,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,3.22223398523436e-117,3.38325684584356e-07,0,1.70948041580904e-11
"21022",0,7.34788655969911e-08,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,4.04179707211442e-61,0.00623672524056846,0,9.08798368094733e-08
"21023",0,0.0166439058423724,0.0099009900990099,0.207920792079208,0.0099009900990099,0.0396039603960396,5.65389778295825e-56,0.0329461935677386,0,0.0173477000221707
"21024",0,1.30353794530919e-17,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,3.92311747462159e-107,1.47818758301214e-09,0,2.87975978318791e-17
"21026",0,1.72221360279704e-24,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,6.5647388284717e-125,3.72374178622216e-12,0,2.1971837455424e-24
"21027",0,3.42546788924629e-06,0.0099009900990099,0.0396039603960396,0.0099009900990099,0.0099009900990099,1.58991519907226e-57,0.00403421919851955,0,3.08912774161257e-06
"22001",0,7.98061835117694e-06,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,4.5130090887363e-97,0.0214413790147017,0,7.28521321732432e-06
"22006",0,1.21655254328225e-05,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.20287704492957e-60,0.00587009355106521,0,1.40906308602152e-05
"22007",0,6.72526294446067e-07,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,6.44187910158268e-48,0.00470782678262041,0,6.72526294446011e-07
"22009",0,3.8441194924823e-09,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,5.39513555281759e-63,0.00313226886473434,0,4.15123851384142e-09
"23001",0,3.800459433556e-15,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.7817604675392e-238,8.68466580735096e-10,0,2.47999532514004e-15
"23004",0,8.81061448247529e-26,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,4.29964295005137e-153,1.93119800907961e-13,0,8.81061448248394e-26
"23006",0,5.66261572073539e-27,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.31136026840531e-149,5.29635695353781e-12,0,5.66261572073254e-27
"23007",0,3.34680382570607e-06,0.0099009900990099,0.0396039603960396,0.0099009900990099,0.0099009900990099,1.09016696986117e-19,0.0988257686757414,0,3.52431976451185e-06
"23008",0,8.94560232092027e-12,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.96146543810445e-121,1.739824240309e-06,0,1.11536686375623e-11
"23011",0,8.68139852152691e-25,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,4.63176885803839e-102,4.24269651879775e-11,0,8.62642659795167e-25
"23016",3.56894169521146e-261,7.49454456128441e-14,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,6.5262153889472e-18,9.78599256827802e-07,9.33059957463898e-261,6.96480537765092e-14
"24001",0,4.54600804990674e-11,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,5.20580671970913e-98,0.000907483696920217,0,4.54600804990624e-11
"24003",0,3.8316885739518e-19,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.99794932206505e-64,5.34337140343191e-08,0,5.28326099193696e-19
"24004",0,6.98226157627943e-09,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,3.8468195556403e-59,0.00284939091197355,0,7.38581200731641e-09
"24005",0,1.0132442271788e-10,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.43680861109698e-34,0.0361665320884384,0,1.19848745063611e-10
"25001",0,8.09820396016552e-12,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.20748549500246e-183,0.00012084751782815,0,6.17992900451746e-12
"25003",3.17230043241465e-143,3.17302720642334e-06,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,3.21463374109163e-30,0.224512477587383,3.17230043241058e-143,3.17302720642286e-06
"25006",0,1.93652663193637e-10,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,8.11397857168783e-110,0.0011984872480507,0,1.9365266319366e-10
"25012",5.28119808546608e-287,2.62634071990951e-22,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,3.92769982036519e-70,4.89069145996179e-11,5.28119808543798e-287,2.62634071990692e-22
"25020",0,0.000589268470847596,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,6.06025903794744e-97,0.0420923327099339,0,0.000673284284760216
"25021",0,0.000995745998792288,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0297029702970297,1.64947926589047e-74,0.210002900816984,0,0.000915642294701408
"25029",3.03659881331896e-189,0.00410110233605578,0.0099009900990099,0.0792079207920792,0.0099009900990099,0.0198019801980198,3.16733913537822e-20,0.042691487714482,3.03659881332359e-189,0.00410110233605626
"26003",0,0.000159113459641784,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,1.43127416512441e-78,0.0790366216131943,0,0.000159785896665238
"26005",6.82867138407659e-62,0.893815430802941,0.0099009900990099,0.673267326732673,0.0099009900990099,0.891089108910891,3.00618646917591e-10,0.840375940677482,2.74987889506453e-62,0.867342454427576
"26006",6.01896020073695e-138,0.207281921965503,0.0099009900990099,0.118811881188119,0.0099009900990099,0.138613861386139,1.17897967947911e-37,0.276786238355438,7.91390196742294e-138,0.153552962142016
"26008",1.90505986032869e-292,0.00015798843137247,0.0099009900990099,0.0495049504950495,0.0099009900990099,0.0297029702970297,2.1111635017768e-18,0.594837060945322,1.517772478109e-292,0.000123381409576696
"26009",0,0.00207840949325096,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.54545278667485e-64,0.107244745620898,0,0.00308694973111678
"27001",0,0.000286489440993912,0.0099009900990099,0.0495049504950495,0.0099009900990099,0.0198019801980198,2.43145187291288e-113,0.225749816237653,0,0.000279534486488587
"27002",0,8.61891753148562e-05,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0,0.023539640280014,0,9.90730133278785e-05
"27003",0,4.54998109192203e-05,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0,0.0022281369383045,0,4.54998109192406e-05
"27006",0,2.04102764971042e-07,0.0099009900990099,0.0297029702970297,0.0099009900990099,0.0099009900990099,1.47403708713973e-56,0.00518295678547903,0,2.04102764970883e-07
"27007",0,0.000560225289058891,0.0099009900990099,0.0297029702970297,0.0099009900990099,0.0099009900990099,0,0.128851052518432,0,0.000413310684674788
"27009",0,0.380272053833382,0.0099009900990099,0.267326732673267,0.0099009900990099,0.435643564356436,0,0.550544166540327,0,0.536220831141369
"27021",0,0.000221964438602132,0.0099009900990099,0.158415841584158,0.0099009900990099,0.0198019801980198,2.62908869395992e-208,0.0677129437476116,0,0.000221964438601997
"27023",0,5.68055063090865e-10,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,1.1478795861642e-31,0.0185004379263198,0,5.68055063091111e-10
"27025",0,6.02346526118211e-06,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.04922414374439e-96,0.0206468900920218,0,6.02346526118423e-06
"27026",0,4.07536237526741e-11,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,1.52504139103788e-43,1.44767667868102e-05,0,4.07536237526887e-11
